SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8420 Birch St,Oakland,CA,94621-1763,425000,2,1.0,East Oakland,841,4200,1910,94,505,,Active,,,http://www.redfin.com/CA/Oakland/8420-Birch-St-94621/home/1497125,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922501,N,Y,37.7564805,-122.1722503
MLS Listing,,Single Family Residential,260 Gravatt Dr,Berkeley,CA,94705,2350000,4,3.5,Claremont Hills,3864,14690,2001,94,608,,Active,,,http://www.redfin.com/CA/Berkeley/260-Gravatt-Dr-94705/home/1604800,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922474,N,Y,37.8593775,-122.2351878
MLS Listing,,Multi-Family (2-4 Unit),821 13Th St,Oakland,CA,94607,799000,4,2.0,Downtown,1681,2500,1896,94,475,,Active,,,http://www.redfin.com/CA/Oakland/821-13th-St-94612/home/1187325,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922435,N,Y,37.8069135,-122.2806078
MLS Listing,,Single Family Residential,3414 Hannah St,Oakland,CA,94608,1150000,3,3.0,West Oakland,1988,1827,2005,95,578,,Active,,,http://www.redfin.com/CA/Oakland/3414-Hannah-St-94608/home/525267,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922319,N,Y,37.825571,-122.2872974
MLS Listing,,Townhouse,77 Starview Dr,Oakland,CA,94618,1095000,3,2.5,Hiller Highlands,1873,1770,1995,95,585,200,Active,,,http://www.redfin.com/CA/Oakland/77-Starview-Dr-94618/home/2040776,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922247,N,Y,37.8529838,-122.2258015
MLS Listing,,Single Family Residential,1839 9th Ave,Oakland,CA,94606,725000,4,1.5,Oakland,1654,3900,1910,95,438,,Active,,,http://www.redfin.com/CA/Oakland/1839-9th-Ave-94606/home/533087,CRMLS,PW20200011,N,Y,37.7960344,-122.2463452
MLS Listing,,Condo/Co-op,730 29th St #113,Oakland,CA,94609,349000,1,,West Oakland,706,65340,1931,95,494,371,Active,,,http://www.redfin.com/CA/Oakland/730-29th-St-94609/unit-113/home/160767572,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922212,N,Y,37.8194563,-122.2727525
MLS Listing,,Condo/Co-op,1410 Lakeshore Ave #4,Oakland,CA,94606,949000,3,2.0,Lake Merritt,2049,8500,1959,96,463,1000,Active,,,http://www.redfin.com/CA/Oakland/1410-Lakeshore-Ave-94606/unit-4/home/173273499,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922189,N,Y,37.7994411,-122.2574956
MLS Listing,,Single Family Residential,7361 Claremont Ave,Berkeley,CA,94705,2950000,5,4.0,Berkeley,4742,6532,1923,96,622,,Active,,,http://www.redfin.com/CA/Berkeley/7361-Claremont-Ave-94705/home/167211119,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922094,N,Y,37.8612312,-122.241304
MLS Listing,,Multi-Family (2-4 Unit),602 Foothill Blvd,Oakland,CA,94606,1685000,8,4.0,Lake Merritt,4504,4500,1914,96,374,,Active,,,http://www.redfin.com/CA/Oakland/602-Foothill-Blvd-94606/home/172813681,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922081,N,Y,37.7963082,-122.2509617
MLS Listing,,Condo/Co-op,300 Caldecott Ln #112,Oakland,CA,94618,479000,1,1.0,Oakland,728,,1998,96,658,476,Active,,,http://www.redfin.com/CA/Oakland/300-Caldecott-Ln-94618/unit-112/home/628832,San Francisco MLS,506743,N,Y,37.8566538,-122.2210696
MLS Listing,,Single Family Residential,7370 Claremont Ave,Berkeley,CA,94705,1729000,3,3.5,Claremont,2629,8590,2009,96,658,,Active,,,http://www.redfin.com/CA/Berkeley/7370-Claremont-Ave-94705/home/22805558,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921682,N,Y,37.8608827,-122.2408608
MLS Listing,,Multi-Family (2-4 Unit),7717 Ney Ave,Oakland,CA,94605,999000,,,Oakland,4130,8288,1965,96,242,,Active,,,http://www.redfin.com/CA/Oakland/7717-Ney-Ave-94605/home/1728055,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922031,N,Y,37.7675032,-122.1678419
MLS Listing,,Condo/Co-op,6162 Dover,Oakland,CA,94609,619000,1,1.0,Nobe,840,,1910,97,737,201,Active,,,http://www.redfin.com/CA/Oakland/6162-Dover-St-94609/home/173263682,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922011,N,Y,37.8473514,-122.268716
MLS Listing,,Multi-Family (2-4 Unit),2555 E 15Th St,Oakland,CA,94601,779000,7,3.0,Oakland,2836,4550,1922,97,275,,Active,,,http://www.redfin.com/CA/Oakland/2555-E-15th-St-94601/home/1688821,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921971,N,Y,37.782092,-122.2319965
MLS Listing,,Single Family Residential,5523 Fleming Ave,Oakland,CA,94605,758888,3,1.0,Maxwell  Park,1258,9148,1987,97,603,,Active,,,http://www.redfin.com/CA/Oakland/5523-Fleming-Ave-94605/home/1667340,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921894,N,Y,37.7747606,-122.1918767
MLS Listing,,Condo/Co-op,77 Fairmount Ave #314,Oakland,CA,94611,429000,1,1.0,Adams Point,610,,1970,98,703,423,Active,,,http://www.redfin.com/CA/Oakland/77-Fairmount-Ave-94611/unit-314/home/2113376,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921867,N,Y,37.8158891,-122.2603824
